,#,When,Who,Problem,Lang,Verdict,Time,Memory
97,63350099,Oct/25/2019 00:16,friedrich_hayek,A - Panoramix's Prediction,GNU C11,Accepted,62 ms,0 KB
98,63293025,Oct/24/2019 15:15,friedrich_hayek,A - Kefa and First Steps,GNU C11,Time limit exceeded on test 13,2000 ms,800 KB
99,63292937,Oct/24/2019 15:14,friedrich_hayek,A - Kefa and First Steps,GNU C11,Wrong answer on test 9,31 ms,100 KB
100,63291566,Oct/24/2019 14:53,friedrich_hayek,A - The number of positions,GNU C11,Accepted,62 ms,0 KB
101,63291232,Oct/24/2019 14:48,friedrich_hayek,A - The number of positions,GNU C11,Wrong answer on test 5,30 ms,0 KB
102,63290294,Oct/24/2019 14:34,friedrich_hayek,A - Die Roll,GNU C11,Accepted,62 ms,0 KB
103,63289444,Oct/24/2019 14:21,friedrich_hayek,A - Wet Shark and Odd and Even,GNU C11,Accepted,46 ms,0 KB
104,63289335,Oct/24/2019 14:19,friedrich_hayek,A - Wet Shark and Odd and Even,GNU C11,Wrong answer on test 9,46 ms,0 KB
105,63205028,Oct/23/2019 02:06,friedrich_hayek,A - Stones,GNU C11,Accepted,31 ms,0 KB
106,63204509,Oct/23/2019 01:41,friedrich_hayek,A - Ehab and another construction problem,GNU C11,Accepted,31 ms,0 KB
107,63120486,Oct/22/2019 14:02,friedrich_hayek,A - Fraction,GNU C11,Wrong answer on test 4,15 ms,0 KB
108,63101786,Oct/22/2019 04:15,friedrich_hayek,A - Cakeminator,GNU C11,Accepted,30 ms,0 KB
109,63094466,Oct/21/2019 22:52,friedrich_hayek,A - Bear and Five Cards,GNU C11,Accepted,31 ms,0 KB
110,63093892,Oct/21/2019 22:37,friedrich_hayek,A - Game,GNU C11,Accepted,31 ms,0 KB
111,63090672,Oct/21/2019 21:18,friedrich_hayek,B - Margarite and the best present,GNU C11,Accepted,46 ms,0 KB
112,63090376,Oct/21/2019 21:11,friedrich_hayek,B - Margarite and the best present,GNU C11,Wrong answer on test 3,31 ms,0 KB
113,63089961,Oct/21/2019 21:01,friedrich_hayek,B - Two-gram,GNU C11,Accepted,31 ms,0 KB
114,63089864,Oct/21/2019 20:59,friedrich_hayek,B - Two-gram,GNU C11,Wrong answer on test 4,15 ms,0 KB
115,62894267,Oct/19/2019 01:28,friedrich_hayek,A - Be Positive,GNU C11,Accepted,31 ms,0 KB
116,62893850,Oct/19/2019 01:08,friedrich_hayek,A - Find Extra One,GNU C11,Accepted,62 ms,0 KB
117,62862776,Oct/18/2019 14:19,friedrich_hayek,B - Two-gram,GNU C11,Wrong answer on test 2,15 ms,0 KB
118,62835465,Oct/18/2019 01:07,friedrich_hayek,A - Vanya and Cards,GNU C11,Accepted,31 ms,0 KB
119,62652650,Oct/16/2019 01:37,friedrich_hayek,A - Death Note,GNU C11,Accepted,733 ms,0 KB
120,62652283,Oct/16/2019 01:23,friedrich_hayek,A - Tricky Alchemy,GNU C11,Accepted,31 ms,0 KB
121,62586879,Oct/14/2019 22:13,friedrich_hayek,A - Paint the Numbers,GNU C11,Accepted,31 ms,0 KB
122,62523756,Oct/13/2019 19:36,friedrich_hayek,A - Pens and Pencils,GNU C11,Accepted,31 ms,0 KB
123,62522444,Oct/13/2019 19:11,friedrich_hayek,A - CME,GNU C11,Accepted,31 ms,0 KB
124,62417814,Oct/12/2019 15:05,friedrich_hayek,A - XORinacci,GNU C11,Time limit exceeded on test 2,1000 ms,0 KB
125,62375599,Oct/11/2019 20:09,friedrich_hayek,A - Ropewalkers,GNU C11,Accepted,31 ms,0 KB
126,61879551,Oct/05/2019 01:12,friedrich_hayek,A - Prefixes,GNU C11,Accepted,46 ms,200 KB
127,61842558,Oct/04/2019 13:13,friedrich_hayek,A - Palindromic Supersequence,GNU C11,Accepted,31 ms,0 KB
128,61808863,Oct/04/2019 03:33,friedrich_hayek,A - Dawid and Bags of Candies,GNU C11,Accepted,31 ms,0 KB
129,61808773,Oct/04/2019 03:27,friedrich_hayek,A - Dawid and Bags of Candies,GNU C11,Wrong answer on test 9,31 ms,0 KB
130,61808696,Oct/04/2019 03:23,friedrich_hayek,A - Distinct Digits,GNU C11,Accepted,31 ms,0 KB
131,61217286,Sep/24/2019 16:03,friedrich_hayek,A - Far Relative’s Birthday Cake,GNU C11,Accepted,31 ms,0 KB
132,61175524,Sep/23/2019 21:18,friedrich_hayek,A - Far Relative’s Birthday Cake,GNU C11,Compilation error,0 ms,0 KB
133,60847474,Sep/19/2019 16:00,friedrich_hayek,A - A pile of stones,GNU C11,Accepted,31 ms,0 KB
134,60846240,Sep/19/2019 15:38,friedrich_hayek,A - Remove a Progression,GNU C11,Accepted,31 ms,0 KB
135,60845775,Sep/19/2019 15:30,friedrich_hayek,A - Cards,GNU C11,Accepted,109 ms,0 KB
136,60770091,Sep/18/2019 15:23,friedrich_hayek,A - Puzzles,GNU C11,Accepted,62 ms,0 KB
137,60770005,Sep/18/2019 15:21,friedrich_hayek,A - Puzzles,GNU C11,Wrong answer on test 2,30 ms,0 KB
138,60692407,Sep/16/2019 20:54,friedrich_hayek,A - Sushi for Two,GNU C11,Wrong answer on test 4,15 ms,0 KB
139,60648146,Sep/15/2019 20:58,friedrich_hayek,B - Queue at the School,GNU C11,Accepted,62 ms,0 KB
140,60504707,Sep/13/2019 23:41,friedrich_hayek,A - Stickers and Toys,GNU C11,Accepted,31 ms,0 KB
141,60504128,Sep/13/2019 23:20,friedrich_hayek,A - Chips Moving,GNU C11,Accepted,31 ms,0 KB
142,60464104,Sep/13/2019 02:19,friedrich_hayek,A - Ilya and Bank Account,GNU C11,Accepted,62 ms,0 KB
143,60464059,Sep/13/2019 02:16,friedrich_hayek,A - Ilya and Bank Account,GNU C11,Wrong answer on test 7,30 ms,0 KB
144,60461588,Sep/12/2019 23:59,friedrich_hayek,B - Letters Rearranging,GNU C11,Accepted,296 ms,0 KB
